C,Si,Mn,P,S,Mo,Ni,Al,N,Nb,V,B,Ti,Cr,Ce,Cu,Ca,Zr,O,UTS
0.068,0.1,1.43,0.009,0.002,0,0.5,0.005,0.0079,0,0,0.0023,0.1,0,0,0,0,0,0,453
0.071,0.1,1.45,0.005,0.003,0,0.5,0,0.0046,0,0,0.0022,0.01,0,0,0,0,0,0,447
0.063,0.1,1.43,0.007,0.003,0,0.51,0,0.0058,0,0,0.0025,0.01,0,0,0,0,0,0,421
0.068,0.1,1.45,0.008,0.004,0,0.51,0,0.0047,0,0,0.0022,0.01,0,0,0,0,0,0,422
0.071,0.1,1.45,0.007,0.004,0,0.51,0.006,0.0065,0,0,0.0022,0.01,0,0,0,0,0,0,429
0.097,0.29,1.45,0.014,0.004,0,0.31,0.029,0.007,0,0.1,0,0.0005,0,0,0,0,0,0,539
0.1,0.29,1.43,0.016,0.002,0,0.31,0.03,0.007,0,0.1,0,0.012,0,0,0,0,0,0,548
0.087,0.3,1.45,0.013,0.003,0,0.89,0.028,0.007,0,0.08,0,0.001,0,0,0.3,0,0,0,562
0.062,0.1,1.45,0.009,0.003,0,0.5,0,0.0058,0,0,0.0024,0.009,0,0,0,0,0,0,432
0.063,0.1,1.45,0.009,0.004,0,0.5,0.005,0.0043,0,0,0.0024,0.009,0,0,0,0,0,0,499
0.066,0.11,1.46,0.008,0.004,0,0.51,0.005,0.0063,0,0,0.0024,0.01,0,0,0,0,0,0,548
0.068,0.1,1.46,0.007,0.004,0,0.5,0,0.0077,0,0,0.0024,0.011,0,0,0,0,0,0,466
0.069,0.36,1.55,0.011,0.003,0,0,0.035,0.0052,0,0,0,0,0,0,0,0,0,0,502
0.069,0.36,1.55,0.011,0.003,0,0,0.035,0.0052,0,0,0,0,0,0,0,0,0,0,506
0.069,0.36,1.55,0.011,0.003,0,0,0.035,0.0052,0,0,0,0,0,0,0,0,0,0,502
0.078,0.4,1.5,0.009,0.003,0,0,0.036,0.0049,0,0,0,0.015,0,0,0,0,0,0,503
0.078,0.4,1.5,0.009,0.003,0,0,0.036,0.0049,0,0,0,0.015,0,0,0,0,0,0,486
0.078,0.4,1.5,0.009,0.003,0,0,0.036,0.0049,0,0,0,0.015,0,0,0,0,0,0,486
0.15,0.3,1.38,0.011,0.007,0,0,0.038,0.0051,0,0.05,0,0,0,0,0.25,0,0,0,551
0.15,0.31,1.38,0.009,0.009,0,0,0.037,0.0053,0,0.05,0,0,0,0,0.02,0,0,0,519
0.15,0.3,1.38,0.01,0.006,0,0,0.039,0.0045,0,0.06,0,0,0,0,0.02,0,0,0,524
0.15,0.31,1.4,0.01,0.007,0,0,0.036,0.0054,0,0.06,0,0,0,0,0.02,0,0,0,532
0.16,0.31,1.38,0.011,0.007,0,0,0.038,0.0056,0,0.05,0,0,0,0,0.02,0,0,0,536
0.16,0.31,1.37,0.009,0.009,0,0,0.038,0.0049,0,0.05,0,0,0,0,0.02,0,0,0,538
0.27,0.25,0.53,0.013,0.005,0.33,4.05,0.07,0.004,0,0,0,0,1.24,0,0,0,0,0,1465
0.27,0.25,0.53,0.013,0.005,0.33,4.05,0.07,0.004,0,0,0,0,1.24,0,0,0,0,0,1288
0.34,0.27,0.54,0.014,0.005,0.3,4.03,0.07,0.004,0,0,0,0,1.24,0,0,0,0,0,1790
0.34,0.27,0.54,0.014,0.005,0.3,4.03,0.07,0.004,0,0,0,0,1.24,0,0,0,0,0,1681
0.22,0.35,1.13,0.013,0.011,0.002,0.025,0.043,0.005,0.001,0.002,0.0001,0.002,0.028,0,0.039,0,0,0,534
