C,Si,Mn,P,S,Mo,Ni,Al,N,Nb,V,B,Ti,Cr,Ce,Cu,Ca,Zr,O,Temperature,Energy
0.094,0.21,1.44,0.005,0.003,0,0,0.029,0.0052,0.003,0.1,0.0005,0,0,0,0,0,0,0,-75,27
0.16,0.27,1.26,0.016,0.008,0.003,0.02,0.01,0.0093,0.003,0.003,0,0.003,0.01,0,0.01,0,0,0.0071,-10,27
0.16,0.27,1.27,0.016,0.008,0.003,0.02,0.014,0.0094,0.003,0.003,0,0.003,0.01,0,0.01,0,0,0.0096,-27,27
0.16,0.27,1.26,0.016,0.008,0.003,0.02,0.01,0.0092,0.003,0.003,0,0.003,0.01,0,0.01,0,0,0.0078,-36,27
0.15,0.23,1.29,0.016,0.008,0.003,0.02,0.013,0.0094,0.003,0.003,0,0.003,0.01,0,0.01,0,0,0.0061,-50,27
0.16,0.24,1.3,0.016,0.008,0.003,0.02,0.013,0.0095,0.003,0.003,0,0.003,0.01,0,0.01,0,0,0.0067,-29,27
0.16,0.33,1.45,0.017,0.009,0.003,0.03,0.028,0.011,0.003,0.003,0,0.003,0.04,0,0.01,0,0,0.0047,-6,27
0.16,0.33,1.45,0.017,0.009,0.003,0.03,0.03,0.011,0.003,0.003,0,0.003,0.04,0,0.01,0,0,0.0051,-33,27
0.16,0.32,1.44,0.017,0.009,0.003,0.03,0.026,0.011,0.003,0.003,0,0.003,0.04,0,0.01,0,0,0.0054,-53,27
0.07,0.1,1.4,0.008,0.005,0,0,0.018,0.006,0.003,0.003,0,0.003,0,0,0,0,0,0,-99,27
0.07,0.1,1.4,0.008,0.005,0,0,0.018,0.006,0.003,0.003,0,0.003,0,0,0,0,0,0,-99,27
0.07,0.1,1.4,0.008,0.005,0,0,0.018,0.006,0.003,0.003,0,0.003,0,0,0,0,0,0,-108,27
0.07,0.1,1.4,0.008,0.005,0,0,0.018,0.006,0.003,0.003,0,0.003,0,0,0,0,0,0,-100,27
0.07,0.1,1.4,0.008,0.005,0,0,0.018,0.006,0.003,0.003,0,0.003,0,0,0,0,0,0,-62,27
0.07,0.1,1.4,0.008,0.005,0,0,0.018,0.006,0.003,0.003,0,0.003,0,0,0,0,0,0,-105,27
0.07,0.1,1.4,0.008,0.005,0,0,0.018,0.006,0.003,0.003,0,0.003,0,0,0,0,0,0,-96,27
0.07,0.1,1.4,0.008,0.005,0,0,0.018,0.006,0.003,0.003,0,0.003,0,0,0,0,0,0,-98,27
0.062,0.18,0.32,0.025,0.02,0,0.13,0.004,0.008,0.004,0,0,0,0.15,0,0.25,0,0,0,0,27
0.062,0.18,0.32,0.025,0.02,0,0.13,0.004,0.008,0.004,0,0,0,0.15,0,0.25,0,0,0,-3,27
0.062,0.18,0.32,0.025,0.02,0,0.13,0.004,0.008,0.004,0,0,0,0.15,0,0.25,0,0,0,-18,27
0.065,0.01,0.28,0.025,0.015,0,0.09,0.042,0.008,0.004,0,0,0,0.1,0,0.3,0,0,0,-35,27
0.065,0.17,0.57,0.037,0.015,0,0.13,0.004,0.007,0.004,0,0,0,0.12,0,0.35,0,0,0,-77,27
0.065,0.17,0.57,0.037,0.015,0,0.13,0.004,0.007,0.004,0,0,0,0.12,0,0.35,0,0,0,-70,27
0.065,0.17,0.57,0.037,0.015,0,0.13,0.004,0.007,0.004,0,0,0,0.12,0,0.35,0,0,0,-58,27
0.1,0.25,1.41,0.011,0.003,0,0.02,0.032,0.0055,0.005,0.029,0,0,0,0,0.02,0,0,0,-79.37150483,27
0.1,0.26,1.45,0.011,0.003,0,0.016,0.025,0.0052,0.005,0.054,0,0,0,0,0.02,0,0,0,-83.32237866,27
0.14,0.26,1.43,0.011,0.003,0,0.02,0.029,0.005,0.005,0.05,0,0,0,0,0.02,0,0,0,-71.73682496,27
0.11,0.26,1.4,0.009,0.003,0,0.02,0.03,0.009,0.005,0.028,0,0,0,0,0.02,0,0,0,-97.28018423,27
